attempts,accuracy,recent_accuracy,difficulty,correct_answers,mastered
11,58.6,56.11,3,6,0
16,39.01,29.02,3,6,0
3,83.93,86.98,3,3,1
8,56.71,54.4,2,5,0
16,83.28,100.0,3,13,1
16,38.9,23.08,2,6,0
16,54.59,61.1,3,9,0
20,50.93,43.52,1,10,0
15,84.24,64.29,3,13,1
17,14.88,15.62,2,3,0
18,49.78,31.85,3,9,0
7,49.43,57.36,2,3,0
10,24.25,26.29,3,2,0
5,99.3,100.0,1,5,1
6,84.89,84.83,3,5,1
19,34.61,48.0,3,7,0
10,59.61,54.96,2,6,0
19,89.14,100.0,3,17,1
16,94.08,94.39,2,15,1
12,36.87,40.35,3,4,0
18,50.19,49.56,1,9,0
20,50.98,43.85,2,10,0
10,44.47,58.71,3,4,0
13,52.57,69.11,3,7,0
7,96.83,81.88,2,7,1
13,88.68,86.29,1,12,1
17,75.02,71.42,1,13,1
7,52.25,71.02,1,4,0
15,17.23,10.37,3,3,0
20,95.87,100.0,2,19,1
18,13.23,0.0,3,2,0
12,77.21,74.57,1,9,1
6,24.97,16.95,2,1,0
13,36.4,31.4,1,5,0
19,60.93,72.63,2,12,0
5,88.38,93.16,3,4,1
7,51.5,41.66,1,4,0
3,91.11,98.21,2,3,1
17,98.89,90.85,2,17,1
11,86.08,74.05,2,9,1
18,31.35,34.23,1,6,0
12,98.02,100.0,1,12,1
4,77.07,90.38,3,3,1
10,82.17,70.93,3,8,0
11,78.0,88.7,3,9,1
7,18.74,23.84,3,1,0
17,62.16,71.46,1,11,0
12,77.27,64.3,2,9,0
20,57.78,74.32,2,12,1
11,97.06,88.87,2,11,1
6,96.66,82.29,2,6,1
15,42.92,54.55,3,6,0
20,50.93,57.84,1,10,0
15,94.63,78.96,3,14,1
3,89.58,92.04,3,3,1
10,15.69,28.64,3,2,0
12,46.75,32.34,3,6,0
12,20.45,9.84,2,2,0
15,43.39,61.37,2,7,0
20,62.86,71.92,2,13,1
6,65.41,82.97,2,4,0
14,49.9,67.93,1,7,1
6,43.06,59.13,3,3,0
4,34.83,53.56,2,1,0
17,69.65,75.32,1,12,1
3,80.81,70.55,1,2,1
9,84.68,86.85,1,8,1
10,79.69,91.24,2,8,1
11,98.88,100.0,1,11,1
6,87.98,73.25,3,5,1
10,39.14,26.11,3,4,0
16,20.23,2.77,3,3,0
14,63.43,61.51,3,9,0
4,80.49,95.17,3,3,1
17,96.76,79.2,3,16,1
15,71.75,71.36,2,11,1
5,38.99,24.92,1,2,0
20,39.27,59.05,3,8,0
17,64.49,48.46,3,11,0
20,87.89,85.1,3,18,1
16,84.47,80.42,2,14,1
13,38.13,28.32,2,5,0
18,18.21,1.62,1,3,0
14,60.07,63.53,1,8,0
13,21.0,15.14,3,3,0
16,14.63,6.14,3,2,0
6,55.67,41.86,3,3,0
6,86.08,80.79,2,5,1
10,86.06,100.0,2,9,1
20,64.81,71.12,1,13,1
3,34.59,45.09,1,1,0
14,26.33,12.06,1,4,0
5,76.69,95.56,1,4,1
19,43.86,42.0,1,8,0
12,39.19,56.85,3,5,0
4,24.17,28.88,1,1,0
11,69.57,69.0,2,8,0
11,77.94,62.5,1,9,1
12,71.06,70.53,3,9,0
4,45.57,49.55,1,2,0
12,79.06,89.63,1,9,1
6,54.76,51.99,1,3,0
20,30.71,33.06,3,6,0
14,45.74,55.42,1,6,0
17,87.59,90.62,1,15,1
16,20.37,1.2,2,3,0
17,92.78,76.3,3,16,1
10,63.0,63.96,2,6,0
12,40.56,33.88,3,5,0
19,20.26,20.66,3,4,0
14,75.46,88.22,2,11,1
10,23.18,11.07,1,2,0
5,95.62,100.0,1,5,1
17,93.17,95.75,3,16,1
13,38.45,36.04,3,5,0
12,63.23,57.31,2,8,0
17,13.38,8.13,2,2,0
5,63.47,58.85,3,3,0
4,91.81,94.68,2,4,1
18,23.58,6.05,3,4,0
13,17.59,23.43,3,2,0
17,57.17,61.56,2,10,0
12,46.79,40.32,2,6,0
13,39.67,41.99,1,5,0
11,86.64,100.0,3,10,1
7,17.34,23.88,2,1,0
12,72.86,68.54,3,9,0
5,60.3,66.04,2,3,0
7,73.25,91.14,3,5,1
19,68.14,65.08,1,13,0
14,26.22,14.79,2,4,0
18,30.39,15.89,1,5,0
6,79.38,92.78,3,5,1
4,40.31,50.96,3,2,0
15,24.6,37.86,1,4,0
8,49.39,45.82,3,4,0
10,64.95,75.05,2,6,1
10,31.53,50.15,3,3,0
9,71.05,73.86,2,6,1
12,55.26,52.01,2,7,0
9,22.46,12.46,3,2,0
14,94.09,100.0,3,13,1
6,17.55,3.96,2,1,0
19,84.79,68.46,1,16,1
17,93.74,90.34,2,16,1
14,44.75,28.02,1,6,0
13,85.53,91.52,1,11,1
7,35.82,49.01,1,3,0
7,52.22,56.83,3,4,0
3,29.41,15.39,2,1,0
19,20.01,11.53,2,4,0
4,47.78,59.54,1,2,0
6,63.71,44.36,2,4,0
10,22.92,20.09,3,2,0
10,47.49,54.07,3,5,0
14,95.81,97.57,1,13,1
19,11.83,26.76,3,2,0
15,32.83,13.48,2,5,0
14,75.96,81.09,1,11,1
13,13.99,15.83,1,2,0
8,51.82,59.63,3,4,0
7,74.44,92.19,1,5,1
9,81.2,96.63,1,7,1
12,45.84,58.46,3,6,0
4,27.2,21.48,3,1,0
13,21.2,15.92,2,3,0
17,40.51,27.99,2,7,0
14,34.0,17.31,3,5,0
16,99.56,86.78,3,16,1
6,39.51,31.34,1,2,0
16,72.08,66.14,1,12,0
14,99.83,90.82,3,14,1
4,70.41,66.65,1,3,1
8,22.85,27.15,1,2,0
4,16.05,27.19,1,1,0
15,12.91,0.0,3,2,0
14,49.95,33.03,2,7,0
14,38.29,29.44,2,5,0
3,26.74,27.45,3,1,0
6,79.75,87.91,2,5,1
12,92.48,92.13,3,11,1
5,25.54,34.07,2,1,0
13,41.27,23.87,3,5,0
12,74.06,91.16,1,9,1
14,30.18,49.59,3,4,0
10,12.37,14.53,2,1,0
20,65.08,48.52,1,13,0
18,46.97,43.35,3,8,0
7,67.81,65.81,2,5,1
14,89.02,100.0,1,12,1
8,48.94,65.36,1,4,0
6,23.77,10.36,3,1,0
10,95.27,96.03,2,10,1
5,27.67,45.92,2,1,0
12,58.01,58.12,3,7,0
7,69.29,78.11,1,5,1
4,17.31,35.25,1,1,0
11,28.97,31.86,3,3,0
3,90.01,91.83,2,3,1
12,32.04,44.33,2,4,0
17,71.98,58.3,1,12,0
17,40.62,26.36,1,7,0
13,98.92,92.74,3,13,1
14,60.55,53.31,3,8,0
11,32.31,16.19,2,4,0
15,47.63,66.14,3,7,0
13,74.9,62.49,3,10,0
19,54.89,47.23,2,10,0
15,51.15,40.78,3,8,0
4,35.32,39.22,1,1,0
18,58.3,72.19,2,10,0
11,42.92,39.05,3,5,0
4,60.56,55.06,3,2,0
15,50.53,52.53,3,8,0
6,97.76,93.51,1,6,1
13,94.51,100.0,3,12,1
19,55.01,36.82,2,10,0
13,56.74,42.7,2,7,0
7,93.82,86.56,2,7,1
12,40.27,53.41,3,5,0
12,83.42,78.15,2,10,1
16,37.69,53.64,3,6,0
3,52.71,71.4,3,2,0
10,14.62,13.84,3,1,0
15,83.95,73.64,1,13,1
6,11.7,4.25,1,1,0
9,55.16,59.62,2,5,0
4,22.43,10.72,3,1,0
18,43.91,62.18,3,8,0
20,59.16,66.2,2,12,0
11,53.58,71.87,3,6,0
12,94.73,100.0,1,11,1
9,73.45,66.13,3,7,0
11,20.97,28.03,2,2,0
15,95.91,100.0,2,14,1
12,17.11,34.07,3,2,0
18,28.19,29.73,1,5,0
11,19.83,29.47,1,2,0
4,91.47,80.49,3,4,1
6,39.73,38.62,2,2,0
7,96.81,100.0,1,7,1
18,68.55,78.78,2,12,0
12,15.32,26.07,3,2,0
10,76.48,90.5,3,8,0
8,89.4,76.43,2,7,1
15,26.77,36.73,2,4,0
12,10.83,13.55,1,1,0
13,50.89,56.54,2,7,0
7,52.12,39.83,3,4,0
8,51.3,41.59,3,4,0
13,61.1,71.39,2,8,0
15,56.38,39.84,2,8,0
8,52.97,70.4,1,4,0
15,50.21,40.89,1,8,0
3,68.83,76.54,2,2,0
6,37.61,33.83,2,2,0
12,20.57,37.21,3,2,0
10,96.16,95.29,1,10,1
14,73.17,89.69,2,10,1
9,71.23,75.06,1,6,1
19,57.54,52.01,2,11,0
6,84.59,100.0,1,5,1
20,24.81,38.99,1,5,0
9,62.48,46.12,3,6,0
4,21.87,18.49,2,1,0
20,70.55,62.88,2,14,0
11,77.12,80.25,1,8,1
14,15.74,35.5,3,2,0
5,12.86,9.21,2,1,0
16,99.36,94.66,2,16,1
15,17.22,35.79,2,3,0
7,87.43,72.17,3,6,1
15,21.46,40.61,3,3,0
3,51.67,60.43,2,2,0
15,32.28,26.12,1,5,0
6,82.85,79.62,1,5,1
3,28.55,12.58,1,1,0
4,76.65,72.74,1,3,1
9,22.61,42.35,1,2,0
13,63.81,70.71,3,8,0
12,98.71,99.56,1,12,1
11,60.1,63.77,1,7,1
8,71.09,73.32,3,6,0
14,70.42,81.85,3,10,0
16,23.43,18.49,2,4,0
18,86.44,78.47,1,16,1
17,60.61,79.33,1,10,1
7,31.86,19.99,2,2,0
17,18.32,27.31,2,3,0
11,70.63,74.75,2,8,1
9,75.19,77.54,3,7,1
13,96.13,76.75,2,12,1
6,99.96,99.12,3,6,1
9,92.36,94.44,2,8,1
15,58.03,52.4,2,9,0
19,51.94,64.05,2,10,0
13,43.36,39.92,1,6,0
10,23.13,13.56,3,2,0
16,23.72,16.91,2,4,0
10,59.56,77.3,2,6,0
18,67.75,67.38,3,12,0
14,22.6,24.46,1,3,0
20,96.15,97.11,3,19,1
5,14.37,0.0,3,1,0
10,73.65,54.01,1,7,0
14,65.61,72.28,1,9,1
18,53.91,34.17,3,10,0
3,57.65,48.64,1,2,0
3,83.18,90.15,3,2,1
8,92.62,93.6,1,7,1
19,83.37,74.06,2,16,1
14,51.31,41.04,2,7,0
12,84.53,67.75,3,10,1
4,46.48,41.56,1,2,0
3,25.42,25.42,3,1,0
13,97.96,100.0,3,13,1
4,29.03,43.75,1,1,0
18,14.19,0.0,2,3,0
20,69.23,56.4,3,14,0
3,62.83,72.92,1,2,1
15,36.93,39.49,1,6,0
15,90.69,83.96,3,14,1
7,75.17,75.21,3,5,1
4,49.34,62.88,1,2,0
15,12.67,3.6,2,2,0
18,42.02,59.67,1,8,0
15,79.5,71.31,1,12,1
5,34.12,29.32,1,2,0
7,45.07,39.49,3,3,0
12,42.39,33.18,2,5,0
8,50.4,52.59,2,4,0
3,41.85,25.57,1,1,0
13,11.11,7.66,2,1,0
20,61.48,48.26,1,12,0
7,37.1,36.83,2,3,0
16,47.9,47.27,2,8,0
11,74.88,74.71,1,8,1
17,22.19,2.46,1,4,0
15,49.62,46.84,2,7,0
7,38.86,56.75,2,3,0
13,96.81,100.0,1,13,1
18,80.38,73.41,3,14,0
15,20.25,22.8,2,3,0
20,71.35,73.36,1,14,1
17,28.87,40.78,3,5,0
5,70.57,56.14,2,4,0
11,23.87,20.8,3,3,0
17,53.13,49.16,3,9,0
16,13.31,32.05,3,2,0
20,67.44,50.84,3,13,0
14,68.23,50.0,1,10,1
15,96.91,94.13,2,15,1
11,55.96,56.71,1,6,0
10,43.67,42.19,2,4,0
19,41.05,22.03,1,8,0
16,20.45,38.07,1,3,0
12,50.98,39.25,2,6,0
18,49.43,57.31,1,9,0
12,82.92,67.52,1,10,1
6,82.0,99.2,3,5,1
19,59.67,52.91,1,11,0
17,81.8,86.99,1,14,1
16,12.63,17.19,2,2,0
16,10.4,0.0,2,2,0
5,19.16,34.04,3,1,0
13,51.18,41.67,1,7,0
19,38.21,33.75,3,7,0
6,41.68,39.99,2,3,0
12,63.12,70.0,3,8,0
10,20.53,15.46,2,2,0
15,63.68,66.67,2,10,0
18,58.36,75.13,3,11,0
8,25.02,16.57,3,2,0
17,14.83,9.19,3,3,0
7,83.37,100.0,1,6,1
18,71.62,68.25,2,13,1
18,17.44,0.0,1,3,0
12,34.74,36.24,1,4,0
17,76.83,87.46,3,13,1
6,20.28,31.28,3,1,0
14,84.03,65.7,3,12,1
20,99.08,83.18,1,20,1
10,88.73,70.02,2,9,1
5,87.88,72.57,2,4,1
9,62.91,56.94,3,6,0
16,65.45,76.85,1,10,1
4,41.57,32.82,3,2,0
13,36.34,39.25,3,5,0
19,83.37,68.79,3,16,1
16,99.32,100.0,1,16,1
7,23.16,16.05,1,2,0
15,22.8,28.09,2,3,0
15,16.8,28.58,2,3,0
15,77.48,85.27,3,12,1
17,39.46,19.55,2,7,0
5,97.49,100.0,3,5,1
5,45.79,64.52,3,2,0
18,39.06,30.4,2,7,0
7,86.72,98.25,3,6,1
4,18.96,30.32,1,1,0
6,49.72,29.74,1,3,0
9,91.85,100.0,3,8,1
11,68.91,58.93,1,8,0
8,45.67,37.89,1,4,0
10,68.99,77.14,2,7,0
18,21.94,10.99,1,4,0
3,72.6,85.29,1,2,1
16,21.9,4.73,3,4,0
6,38.2,53.44,1,2,0
7,99.36,85.08,3,7,1
3,68.5,66.11,3,2,0
7,65.45,63.14,2,5,0
6,77.72,81.3,1,5,1
16,81.2,71.11,2,13,1
10,64.09,72.94,3,6,0
3,88.82,77.04,3,3,1
9,45.26,51.1,3,4,0
10,44.73,34.37,2,4,0
5,89.99,70.47,3,4,1
13,44.82,58.37,1,6,0
20,25.55,24.39,3,5,0
5,62.86,43.41,1,3,0
4,55.59,60.74,2,2,0
16,73.16,56.46,2,12,0
7,17.52,0.68,2,1,0
7,39.41,42.87,3,3,0
5,72.88,82.08,2,4,1
4,17.76,15.14,1,1,0
4,69.95,76.27,2,3,0
3,22.35,2.8,3,1,0
14,56.55,69.45,3,8,0
14,77.48,92.42,1,11,1
6,40.15,37.32,1,2,0
11,97.75,100.0,3,11,1
19,14.99,29.36,2,3,0
8,79.6,95.37,2,6,1
6,76.67,56.77,1,5,1
3,14.14,8.7,1,0,0
8,59.76,76.32,1,5,1
16,38.96,35.61,1,6,0
11,61.44,46.21,1,7,0
4,30.09,30.72,1,1,0
15,88.93,100.0,1,13,1
12,17.77,16.04,2,2,0
12,80.61,90.19,3,10,1
14,97.47,100.0,3,14,1
20,23.55,40.85,1,5,0
20,67.23,74.97,2,13,0
13,78.3,73.35,1,10,1
12,28.47,47.79,1,3,0
4,74.05,57.77,1,3,1
19,73.08,67.98,2,14,1
5,18.6,3.94,3,1,0
5,61.1,58.5,3,3,0
10,33.49,26.09,2,3,0
13,50.75,40.09,2,7,0
7,19.81,4.03,3,1,0
13,20.87,15.2,2,3,0
17,51.7,65.8,2,9,0
12,72.72,54.33,3,9,0
13,18.21,8.14,1,2,0
19,70.95,61.35,1,13,1
3,86.91,89.15,2,3,1
6,19.17,30.92,2,1,0
4,21.76,34.71,1,1,0
5,62.75,79.45,3,3,0
5,91.22,88.96,1,5,1
13,13.84,12.28,1,2,0
16,45.55,26.73,3,7,0
8,29.32,16.81,2,2,0
7,65.27,69.95,1,5,1
18,89.45,88.61,2,16,1
15,47.73,53.44,1,7,0
10,99.47,100.0,3,10,1
15,42.32,44.1,3,6,0
19,44.95,32.15,2,9,0
10,90.62,100.0,1,9,1
18,42.17,45.53,3,8,0
8,32.31,21.95,1,3,0
4,61.81,81.12,1,2,1
8,31.29,24.01,1,3,0
14,12.54,20.56,3,2,0
7,95.35,100.0,3,7,1
18,37.81,37.43,3,7,0
10,29.69,30.75,3,3,0
9,40.67,27.77,1,4,0
13,11.97,15.44,1,2,0
6,87.46,100.0,3,5,1
15,19.09,11.16,3,3,0
8,95.38,100.0,3,8,1
13,73.65,76.13,1,10,1
14,69.9,82.48,1,10,1
12,25.99,6.07,1,3,0
15,12.91,17.01,3,2,0
10,60.9,78.37,3,6,0
5,41.21,33.99,1,2,0
5,70.3,79.47,3,4,0
3,28.87,36.6,2,1,0
6,10.12,5.55,3,1,0
8,54.38,49.53,2,4,0
6,80.99,84.11,2,5,1
10,50.62,62.58,1,5,0
3,33.5,17.69,2,1,0
15,75.88,77.76,1,11,1
5,63.46,68.01,2,3,0
3,94.82,81.42,2,3,1
8,19.11,7.34,1,2,0
20,93.3,94.91,3,19,1
12,18.63,14.35,1,2,0
18,14.91,0.0,1,3,0
18,18.73,7.01,1,3,0
5,85.94,78.27,2,4,1
18,33.85,39.53,3,6,0
14,43.25,41.08,2,6,0
17,30.36,21.1,2,5,0
6,70.13,82.46,1,4,1
10,15.49,10.97,3,2,0
20,88.02,87.01,3,18,1
18,17.11,33.22,2,3,0
19,91.04,100.0,3,17,1
7,95.43,93.39,1,7,1
8,82.76,67.81,1,7,1
16,99.75,100.0,1,16,1
11,91.97,100.0,2,10,1
15,45.76,38.81,3,7,0
17,80.79,85.71,1,14,1
16,47.3,33.23,1,8,0
6,60.64,44.68,1,4,0
20,89.01,79.58,2,18,1
18,25.5,21.62,1,5,0
15,45.62,60.78,1,7,0
4,52.77,43.51,3,2,0
13,37.99,51.7,2,5,0
6,22.09,41.06,1,1,0
13,75.59,79.79,2,10,0
17,92.21,88.5,1,16,1
19,83.89,84.5,2,16,1
12,55.61,41.04,3,7,0
3,27.35,40.67,1,1,0
10,51.08,67.8,1,5,0
11,84.12,84.32,2,9,1
6,12.75,7.65,3,1,0
8,62.82,56.81,2,5,0
11,84.78,68.39,3,9,0
4,86.84,98.04,1,3,1
10,30.26,18.53,3,3,0
19,87.82,100.0,1,17,1
18,68.26,72.31,1,12,0
11,82.46,74.68,3,9,1
11,90.59,100.0,2,10,1
9,37.19,38.02,2,3,0
6,56.04,62.53,1,3,1
14,68.26,72.62,3,10,0
6,15.75,35.28,2,1,0
11,69.05,87.14,2,8,1
9,56.56,46.17,1,5,0
15,38.76,24.36,3,6,0
18,33.35,30.09,2,6,0
4,73.73,76.61,3,3,0
10,58.12,69.51,3,6,0
14,37.02,23.82,3,5,0
20,36.44,35.27,1,7,0
20,95.22,100.0,1,19,1
10,30.1,44.96,2,3,0
13,33.45,25.21,2,4,0
18,87.98,91.32,1,16,1
5,90.05,90.07,2,5,1
15,36.85,19.01,3,6,0
7,40.84,60.33,1,3,0
17,38.47,47.1,1,7,0
18,66.79,53.87,2,12,0
3,34.62,45.07,2,1,0
8,80.67,91.86,2,6,1
16,48.65,45.81,3,8,0
3,58.04,67.27,1,2,1
13,27.15,34.22,3,4,0
10,72.42,66.19,1,7,0
15,62.98,49.66,3,9,0
12,51.03,51.84,2,6,0
16,99.59,93.3,3,16,1
14,24.84,41.12,1,3,0
3,30.19,49.58,1,1,0
3,55.42,40.34,3,2,0
4,88.89,79.12,2,4,1
4,99.52,100.0,3,4,1
3,72.08,68.75,1,2,1
20,52.7,38.82,2,11,0
3,47.88,31.92,2,1,0
7,84.76,68.96,2,6,1
6,20.26,4.51,2,1,0
9,84.83,100.0,2,8,1
16,24.43,26.36,2,4,0
18,31.11,11.62,2,6,0
6,70.21,56.18,3,4,0
19,75.12,59.17,1,14,0
10,98.98,90.82,2,10,1
6,88.67,100.0,1,5,1
13,76.47,60.27,2,10,1
4,86.68,93.21,1,3,1
14,95.96,86.69,2,13,1
14,26.46,22.49,2,4,0
11,72.09,71.22,2,8,1
8,21.93,30.98,1,2,0
8,47.44,51.07,1,4,0
17,65.02,76.19,1,11,1
7,92.84,77.35,2,6,1
4,33.55,26.11,1,1,0
19,61.9,64.5,3,12,0
13,57.08,65.1,3,7,0
10,41.12,48.17,2,4,0
20,14.91,20.65,3,3,0
18,88.25,71.24,2,16,1
10,97.31,79.33,2,10,1
15,83.54,66.69,2,13,1
17,87.09,84.98,1,15,1
18,68.8,52.91,3,12,0
20,10.02,0.0,3,2,0
12,60.61,66.79,3,7,0
13,84.28,96.94,2,11,1
13,79.07,83.07,3,10,1
14,50.73,34.63,3,7,0
3,41.96,47.31,2,1,0
20,43.65,27.9,3,9,0
18,83.97,93.67,1,15,1
11,27.63,12.46,3,3,0
9,84.21,71.83,2,8,1
16,93.4,100.0,1,15,1
17,69.26,87.51,2,12,1
18,57.73,39.68,1,10,0
18,80.3,96.7,3,14,1
8,83.37,67.51,3,7,1
13,89.33,86.07,3,12,1
10,45.81,39.52,2,5,0
7,47.15,55.15,1,3,0
12,59.3,51.86,3,7,0
20,29.56,17.95,3,6,0
14,21.94,30.36,3,3,0
8,58.82,64.3,3,5,0
14,53.23,56.06,3,7,0
16,77.31,90.96,3,12,1
16,57.05,38.06,1,9,0
4,34.03,45.45,1,1,0
11,85.54,93.17,1,9,1
20,42.28,40.39,1,8,0
20,76.82,79.27,1,15,1
12,69.8,86.86,3,8,1
13,14.84,24.59,3,2,0
17,92.03,100.0,1,16,1
20,64.3,75.35,3,13,1
12,25.97,33.27,2,3,0
8,56.25,51.33,3,4,0
20,21.71,25.07,2,4,0
13,73.87,60.06,2,10,0
13,14.58,31.87,3,2,0
12,81.09,83.1,2,10,1
13,29.8,17.15,3,4,0
19,47.43,48.92,1,9,0
10,69.7,62.94,1,7,0
19,99.7,100.0,2,19,1
3,70.2,68.03,1,2,1
10,71.43,64.27,1,7,1
6,33.09,42.05,2,2,0
19,56.29,56.64,2,11,0
12,27.33,27.88,3,3,0
8,57.99,63.07,3,5,0
9,48.18,32.34,3,4,0
16,83.51,66.39,3,13,1
3,74.52,56.03,2,2,0
8,60.23,63.23,2,5,0
11,44.92,50.13,2,5,0
3,70.6,71.99,2,2,1
5,62.7,70.74,3,3,0
19,36.09,43.52,1,7,0
12,44.33,57.21,2,5,0
8,29.79,39.66,3,2,0
20,96.41,82.18,2,19,1
14,59.82,62.02,1,8,0
3,63.7,65.19,3,2,0
12,77.35,93.49,1,9,1
16,86.63,72.33,3,14,0
11,20.32,27.16,1,2,0
4,51.51,53.5,3,2,0
5,18.84,27.86,2,1,0
13,21.54,27.76,2,3,0
5,38.6,36.63,1,2,0
12,62.58,65.2,3,8,0
13,25.18,17.71,2,3,0
16,85.61,70.98,2,14,1
18,50.08,61.07,2,9,0
6,68.1,51.38,1,4,0
7,27.68,37.02,3,2,0
5,86.46,91.73,1,4,1
15,29.15,10.61,3,4,0
20,68.85,54.8,2,14,0
12,51.82,52.24,1,6,0
19,69.64,83.56,1,13,1
8,22.63,9.0,3,2,0
7,75.88,93.45,3,5,0
18,15.66,10.43,1,3,0
9,91.7,86.15,3,8,1
17,13.59,19.53,1,2,0
19,84.67,98.06,3,16,1
20,25.65,31.79,3,5,0
5,32.64,51.55,3,2,0
15,83.55,77.35,2,13,1
3,89.38,86.98,3,3,1
19,35.27,21.28,3,7,0
6,30.73,43.18,3,2,0
18,53.09,41.52,3,10,0
16,31.93,17.05,1,5,0
7,56.14,71.77,3,4,0
8,93.02,93.69,2,7,1
3,75.52,88.37,3,2,1
9,64.59,63.44,2,6,0
10,64.08,75.86,2,6,1
